"customerid","companyname","contactname","city","country"
"ALFKI","Alfreds Futterkiste","Maria Anders","Berlin","Germany"
"ANATR","Ana Trujillo Emparedados y helados","Ana Trujillo","México D.F.","Mexico"
"ANTON","Antonio Moreno Taquería","Antonio Moreno","México D.F.","Mexico"
"AROUT","Around the Horn","Thomas Hardy","London","UK"
"BERGS","Berglunds snabbköp","Christina Berglund","Luleå","Sweden"
"BLAUS","Blauer See Delikatessen","Hanna Moos","Mannheim","Germany"
"BLONP","Blondesddsl père et fils","Frédérique Citeaux","Strasbourg","France"
"BOLID","Bólido Comidas preparadas","Martín Sommer","Madrid","Spain"
"BONAP","Bon app'","Laurence Lebihan","Marseille","France"
"BOTTM","Bottom-Dollar Markets","Elizabeth Lincoln","Tsawassen","Canada"
"BSBEV","B's Beverages","Victoria Ashworth","London","UK"
"CACTU","Cactus Comidas para llevar","Patricio Simpson","Buenos Aires","Argentina"
"CENTC","Centro comercial Moctezuma","Francisco Chang","México D.F.","Mexico"
"CHOPS","Chop-suey Chinese","Yang Wang","Bern","Switzerland"
"COMMI","Comércio Mineiro","Pedro Afonso","Sao Paulo","Brazil"
"CONSH","Consolidated Holdings","Elizabeth Brown","London","UK"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Aachen","Germany"
"DUMON","Du monde entier","Janine Labrune","Nantes","France"
"EASTC","Eastern Connection","Ann Devon","London","UK"
"ERNSH","Ernst Handel","Roland Mendel","Graz","Austria"
"FAMIA","Familia Arquibaldo","Aria Cruz","Sao Paulo","Brazil"
"FISSA","FISSA Fabrica Inter. Salchichas S.A.","Diego Roel","Madrid","Spain"
"FOLIG","Folies gourmandes","Martine Rancé","Lille","France"
"FOLKO","Folk och fä HB","Maria Larsson","Bräcke","Sweden"
"FRANK","Frankenversand","Peter Franken","München","Germany"
"FRANR","France restauration","Carine Schmitt","Nantes","France"
"FRANS","Franchi S.p.A.","Paolo Accorti","Torino","Italy"
"FURIB","Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Lisboa","Portugal"
"GALED","Galería del gastrónomo","Eduardo Saavedra","Barcelona","Spain"
"GODOS","Godos Cocina Típica","José Pedro Freyre","Sevilla","Spain"
"GOURL","Gourmet Lanchonetes","André Fonseca","Campinas","Brazil"
"GREAL","Great Lakes Food Market","Howard Snyder","Eugene","USA"
"GROSR","GROSELLA-Restaurante","Manuel Pereira","Caracas","Venezuela"
"HANAR","Hanari Carnes","Mario Pontes","Rio de Janeiro","Brazil"
"HILAA","HILARION-Abastos","Carlos Hernández","San Cristóbal","Venezuela"
"HUNGC","Hungry Coyote Import Store","Yoshi Latimer","Elgin","USA"
"HUNGO","Hungry Owl All-Night Grocers","Patricia McKenna","Cork","Ireland"
"ISLAT","Island Trading","Helen Bennett","Cowes","UK"
"KOENE","Königlich Essen","Philip Cramer","Brandenburg","Germany"
"LACOR","La corne d'abondance","Daniel Tonini","Versailles","France"
"LAMAI","La maison d'Asie","Annette Roulet","Toulouse","France"
"LAUGB","Laughing Bacchus Wine Cellars","Yoshi Tannamuri","Vancouver","Canada"
"LAZYK","Lazy K Kountry Store","John Steel","Walla Walla","USA"
"LEHMS","Lehmanns Marktstand","Renate Messner","Frankfurt a.M.","Germany"
"LETSS","Let's Stop N Shop","Jaime Yorres","San Francisco","USA"
"LILAS","LILA-Supermercado","Carlos González","Barquisimeto","Venezuela"
"LINOD","LINO-Delicateses","Felipe Izquierdo","I. de Margarita","Venezuela"
"LONEP","Lonesome Pine Restaurant","Fran Wilson","Portland","USA"
"MAGAA","Magazzini Alimentari Riuniti","Giovanni Rovelli","Bergamo","Italy"
"MAISD","Maison Dewey","Catherine Dewey","Bruxelles","Belgium"
"MEREP","Mère Paillarde","Jean Fresnière","Montréal","Canada"
"MORGK","Morgenstern Gesundkost","Alexander Feuer","Leipzig","Germany"
"NORTS","North/South","Simon Crowther","London","UK"
"OCEAN","Océano Atlántico Ltda.","Yvonne Moncada","Buenos Aires","Argentina"
"OLDWO","Old World Delicatessen","Rene Phillips","Anchorage","USA"
"OTTIK","Ottilies Käseladen","Henriette Pfalzheim","Köln","Germany"
"PARIS","Paris spécialités","Marie Bertrand","Paris","France"
"PERIC","Pericles Comidas clásicas","Guillermo Fernández","México D.F.","Mexico"
"PICCO","Piccolo und mehr","Georg Pipps","Salzburg","Austria"
"PRINI","Princesa Isabel Vinhos","Isabel de Castro","Lisboa","Portugal"
"QUEDE","Que Delícia","Bernardo Batista","Rio de Janeiro","Brazil"
"QUEEN","Queen Cozinha","Lúcia Carvalho","Sao Paulo","Brazil"
"QUICK","QUICK-Stop","Horst Kloss","Cunewalde","Germany"
"RANCH","Rancho grande","Sergio Gutiérrez","Buenos Aires","Argentina"
"RATTC","Rattlesnake Canyon Grocery","Paula Wilson","Albuquerque","USA"
"REGGC","Reggiani Caseifici","Maurizio Moroni","Reggio Emilia","Italy"
"RICAR","Ricardo Adocicados","Janete Limeira","Rio de Janeiro","Brazil"
"RICSU","Richter Supermarkt","Michael Holz","Genève","Switzerland"
"ROMEY","Romero y tomillo","Alejandra Camino","Madrid","Spain"
"SANTG","Santé Gourmet","Jonas Bergulfsen","Stavern","Norway"
"SAVEA","Save-a-lot Markets","Jose Pavarotti","Boise","USA"
"SEVES","Seven Seas Imports","Hari Kumar","London","UK"
"SIMOB","Simons bistro","Jytte Petersen","Kobenhavn","Denmark"
"SPECD","Spécialités du monde","Dominique Perrier","Paris","France"
"SPLIR","Split Rail Beer & Ale","Art Braunschweiger","Lander","USA"
"SUPRD","Suprêmes délices","Pascale Cartrain","Charleroi","Belgium"
"THEBI","The Big Cheese","Liz Nixon","Portland","USA"
"THECR","The Cracker Box","Liu Wong","Butte","USA"
"TOMSP","Toms Spezialitäten","Karin Josephs","Münster","Germany"
"TORTU","Tortuga Restaurante","Miguel Angel Paolino","México D.F.","Mexico"
"TRADH","Tradição Hipermercados","Anabela Domingues","Sao Paulo","Brazil"
"TRAIH","Trail's Head Gourmet Provisioners","Helvetius Nagy","Kirkland","USA"
"VAFFE","Vaffeljernet","Palle Ibsen","Århus","Denmark"
"VICTE","Victuailles en stock","Mary Saveley","Lyon","France"
"VINET","Vins et alcools Chevalier","Paul Henriot","Reims","France"
"WANDK","Die Wandernde Kuh","Rita Müller","Stuttgart","Germany"
"WARTH","Wartian Herkku","Pirkko Koskitalo","Oulu","Finland"
"WELLI","Wellington Importadora","Paula Parente","Resende","Brazil"
"WHITC","White Clover Markets","Karl Jablonski","Seattle","USA"
"WILMK","Wilman Kala","Matti Karttunen","Helsinki","Finland"
"WOLZA","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Warszawa","Poland"
