"entity_cd","entity_name","year","subgroup_name","assessment_name","percent_proficient_2019"
"000001000000","ALBANY County",2022,"All Students","Combined6Math",NULL
"000001000000","ALBANY County",2018,"All Students","MATH3",52.7
"000001000000","ALBANY County",2021,"All Students","MATH3",55.5
"000001000000","ALBANY County",2022,"All Students","MATH3",45.3
"000001000000","ALBANY County",2019,"All Students","MATH3",53.2
"000001000000","ALBANY County",2021,"All Students","MATH3",55.5
"000001000000","ALBANY County",2021,"All Students","MATH4",54.6
"000001000000","ALBANY County",2018,"All Students","MATH4",47.7
"000001000000","ALBANY County",2019,"All Students","MATH4",51.1
"000001000000","ALBANY County",2022,"All Students","MATH4",43.3
"000001000000","ALBANY County",2021,"All Students","MATH4",54.6
"000001000000","ALBANY County",2021,"All Students","MATH5",46.6
"000001000000","ALBANY County",2022,"All Students","MATH5",38.5
"000001000000","ALBANY County",2019,"All Students","MATH5",45.2
"000001000000","ALBANY County",2021,"All Students","MATH5",46.6
"000001000000","ALBANY County",2018,"All Students","MATH5",41.7
"000001000000","ALBANY County",2021,"All Students","MATH6",43.1
"000001000000","ALBANY County",2022,"All Students","MATH6",40.9
"000001000000","ALBANY County",2021,"All Students","MATH6",43.1
"000001000000","ALBANY County",2019,"All Students","MATH6",50.8
"000001000000","ALBANY County",2018,"All Students","MATH6",46.9
"000001000000","ALBANY County",2022,"All Students","MATH7",38.3
"000001000000","ALBANY County",2021,"All Students","MATH7",40.6
"000001000000","ALBANY County",2018,"All Students","MATH7",45.0
"000001000000","ALBANY County",2021,"All Students","MATH7",40.6
"000001000000","ALBANY County",2019,"All Students","MATH7",46.3
"000001000000","ALBANY County",2022,"All Students","MATH8",23.2
"000001000000","ALBANY County",2018,"All Students","MATH8",27.3
"000001000000","ALBANY County",2021,"All Students","MATH8",13.4
"000001000000","ALBANY County",2021,"All Students","MATH8",13.4
"000001000000","ALBANY County",2019,"All Students","MATH8",30.7
"000001000000","ALBANY County",2022,"All Students","RegentsMath6",NULL
"000001000000","ALBANY County",2018,"American Indian or Alaska Native","MATH3",60.0
"000001000000","ALBANY County",2021,"American Indian or Alaska Native","MATH3",80.0
"000001000000","ALBANY County",2021,"American Indian or Alaska Native","MATH3",80.0
"000001000000","ALBANY County",2019,"American Indian or Alaska Native","MATH3",80.0
"000001000000","ALBANY County",2022,"American Indian or Alaska Native","MATH3",NULL
"000001000000","ALBANY County",2019,"American Indian or Alaska Native","MATH4",40.0
"000001000000","ALBANY County",2021,"American Indian or Alaska Native","MATH4",NULL
"000001000000","ALBANY County",2021,"American Indian or Alaska Native","MATH4",NULL
"000001000000","ALBANY County",2018,"American Indian or Alaska Native","MATH4",NULL
"000001000000","ALBANY County",2022,"American Indian or Alaska Native","MATH4",36.4
"000001000000","ALBANY County",2021,"American Indian or Alaska Native","MATH5",NULL
