"entity_cd","entity_name","year","subject","subgroup_name","tested","per_prof"
"000001000000","ALBANY County",2019,"Regents Common Core Geometry","Non-English Language Learners",2260,"78"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra II","Not Homeless",1725,"90"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra II","Not Economically Disadvantaged",1327,"94"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra II","Non-English Language Learners",1713,"90"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra I","Not in Foster Care",3846,"77"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra I","Not Homeless",3749,"77"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra I","Not Economically Disadvantaged",2130,"88"
"000001000000","ALBANY County",2019,"Regents Common Core Algebra I","Non-English Language Learners",3608,"77"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","All Students",1713,"92"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","Asian or Native Hawaiian/Other Pacific Islander",209,"97"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","All Students",2514,"72"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Asian or Native Hawaiian/Other Pacific Islander",276,"87"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","Hispanic or Latino",97,"89"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","Homeless",9,"67"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","Male",760,"93"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Hispanic or Latino",155,"52"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Homeless",37,"24"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Male",1113,"72"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","Non-English Language Learners",1695,"92"
"000001000000","ALBANY County",2021,"Regents Common Core Algebra I","Not Migrant",608,"82"
"000001000000","ALBANY County",2021,"Regents Common Core Algebra I","Not Economically Disadvantaged",489,"87"
"000001000000","ALBANY County",2021,"Regents Common Core Algebra I","Black or African American",30,"70"
"000001000000","ALBANY County",2021,"Regents Common Core Algebra I","Female",300,"86"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra II","Not Economically Disadvantaged",1374,"94"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Not Economically Disadvantaged",1742,"81"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Not Homeless",2477,"73"
"000001000000","ALBANY County",2018,"Regents Common Core Geometry","Not Migrant",2514,"72"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra I","All Students",3625,"75"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra I","American Indian or Alaska Native",6,"67"
"000001000000","ALBANY County",2018,"Regents Common Core Algebra I","Non-English Language Learners",3423,"76"
